complaint_id,complaint_no,tenant_id,channel_id,user_id,category_id,subcategory_id,priority_id,latitude,longitude,district,province,location_text,geocoded_at,location_accuracy,current_status_id,assigned_team_id,assigned_user_id,is_public_view,due_date,resolved_at,closed_at,created_at,updated_at,detail,additional_detail
70020a29-f002-4875-ae50-29b0561f488c,CMP-20250317-00001,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000165,11111111-0001-0000-0000-000000000000,22222222-0001-0000-0000-000000000000,33333333-0004-0000-0000-000000000000,13.8329797,100.4668638,คลองพระอุดม,นนทบุรี,บริเวณคลองพระอุดม จ.นนทบุรี,2025-03-17 14:30:25,13.95,ffff0000-0000-0000-0000-000000000005,44444444-0001-0000-0000-000000000000,00000001-0000-0000-0000-000000000011,True,2025-03-24 14:30:00,2025-03-19 15:30:00,,2025-03-17 14:30:00,2025-03-17 14:30:00,ถนนมีหลุมบ่อขนาดใหญ่ ทำให้รถเสียหายและเกิดอุบัติเหตุบ่อยครั้ง ขอให้ดำเนินการซ่อมแซมโดยด่วน,บริเวณหน้าบ้านเลขที่ 123 ซอย 5
f28b1760-1a2a-406a-b8cc-ff5f8cd43642,CMP-20250601-00002,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000193,11111111-0005-0000-0000-000000000000,22222222-0020-0000-0000-000000000000,33333333-0003-0000-0000-000000000000,13.8455479,100.5407213,เกาะเกร็ด,นนทบุรี,บริเวณเกาะเกร็ด จ.นนทบุรี,2025-06-01 17:10:00,9.17,ffff0000-0000-0000-0000-000000000005,44444444-0005-0000-0000-000000000000,00000001-0000-0000-0000-000000000034,True,2025-06-04 17:10:00,2025-06-04 22:10:00,,2025-06-01 17:10:00,2025-06-01 17:10:00,ศูนย์เด็กเล็กมีสภาพทรุดโทรม หลังคารั่ว เด็กๆ ได้รับผลกระทบช่วงฝนตก,หลังคาห้องเรียนรั่ว 3 จุด เด็ก 30 คนได้รับผลกระทบ
e76a9480-ce25-4cb4-912a-44df26b8e4bd,CMP-20250426-00003,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000325,11111111-0003-0000-0000-000000000000,22222222-0011-0000-0000-000000000000,33333333-0001-0000-0000-000000000000,13.8369555,100.5111263,คลองข่อย,นนทบุรี,บริเวณคลองข่อย จ.นนทบุรี,2025-04-26 04:15:28,43.49,ffff0000-0000-0000-0000-000000000006,44444444-0003-0000-0000-000000000000,00000001-0000-0000-0000-000000000025,True,2025-04-26 08:15:00,2025-04-28 08:15:00,2025-04-29 08:15:00,2025-04-26 04:15:00,2025-04-26 04:15:00,ร้านอาหารข้างบ้านมีแมลงสาบและหนูชุกชุม ไม่ถูกสุขลักษณะ,ร้านอาหารตลาดนัด ไม่มีการล้างทำความสะอาด
ee935225-4daf-471a-bc6b-55c2f8f066f1,CMP-20250407-00004,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000134,11111111-0003-0000-0000-000000000000,22222222-0011-0000-0000-000000000000,33333333-0003-0000-0000-000000000000,13.9029127,100.4613402,บ้านใหม่,นนทบุรี,บริเวณบ้านใหม่ จ.นนทบุรี,2025-04-07 15:45:00,49.53,ffff0000-0000-0000-0000-000000000006,44444444-0003-0000-0000-000000000000,00000001-0000-0000-0000-000000000021,True,2025-04-10 15:44:00,2025-04-12 18:44:00,2025-04-15 15:44:00,2025-04-07 15:44:00,2025-04-07 15:44:00,พบลูกน้ำยุงในบ่อน้ำและภาชนะรอบๆ บ้าน เสี่ยงโรคไข้เลือดออก,บ้านร้างข้างๆ มีน้ำขังหลายจุด
ac9807a7-948d-4252-83a0-a2d8e8966b90,CMP-20250626-00005,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000168,11111111-0005-0000-0000-000000000000,22222222-0018-0000-0000-000000000000,33333333-0004-0000-0000-000000000000,13.8955439,100.4845632,ปากเกร็ด,นนทบุรี,บริเวณปากเกร็ด จ.นนทบุรี,2025-06-26 10:17:00,16.92,ffff0000-0000-0000-0000-000000000005,44444444-0005-0000-0000-000000000000,00000001-0000-0000-0000-000000000032,True,2025-07-03 10:17:00,2025-07-02 14:17:00,,2025-06-26 10:17:00,2025-06-26 10:17:00,ขอสนับสนุนอุปกรณ์กีฬาและสถานที่สำหรับกิจกรรมเยาวชนในชุมชน,เยาวชนในชุมชนไม่มีพื้นที่ทำกิจกรรม เสี่ยงยาเสพติด
603a39bc-3b75-49ce-ba0b-cd1514fc8934,CMP-20250512-00006,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000510,11111111-0005-0000-0000-000000000000,22222222-0019-0000-0000-000000000000,33333333-0004-0000-0000-000000000000,13.9161103,100.4602841,บางตลาด,นนทบุรี,บริเวณบางตลาด จ.นนทบุรี,2025-05-12 09:09:00,35.62,ffff0000-0000-0000-0000-000000000005,44444444-0005-0000-0000-000000000000,00000001-0000-0000-0000-000000000034,True,2025-05-19 09:08:00,2025-05-14 10:08:00,,2025-05-12 09:08:00,2025-05-12 09:08:00,ผู้พิการในชุมชนต้องการความช่วยเหลือในการเดินทางไปรับบริการทางการแพทย์,พิการขา ไม่มีญาติดูแล อาศัยอยู่คนเดียว
0b9cc1ce-83ca-47f3-9560-b908bfe75485,CMP-20250628-00007,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000179,11111111-0003-0000-0000-000000000000,22222222-0012-0000-0000-000000000000,33333333-0004-0000-0000-000000000000,13.9068599,100.4790175,บางพลับ,นนทบุรี,บริเวณบางพลับ จ.นนทบุรี,2025-06-28 21:44:00,12.12,ffff0000-0000-0000-0000-000000000005,44444444-0003-0000-0000-000000000000,00000001-0000-0000-0000-000000000021,True,2025-07-05 21:43:00,2025-07-08 02:43:00,,2025-06-28 21:43:00,2025-06-28 21:43:00,ร้านอาหารข้างบ้านมีแมลงสาบและหนูชุกชุม ไม่ถูกสุขลักษณะ,ร้านอาหารตลาดนัด ไม่มีการล้างทำความสะอาด
5f4ec87c-74f6-4bdc-8472-1a233b3eb3a5,CMP-20250606-00008,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000481,11111111-0002-0000-0000-000000000000,22222222-0006-0000-0000-000000000000,33333333-0003-0000-0000-000000000000,13.92535,100.5372434,ท่าอิฐ,นนทบุรี,บริเวณท่าอิฐ จ.นนทบุรี,2025-06-06 17:08:09,19.59,ffff0000-0000-0000-0000-000000000002,44444444-0002-0000-0000-000000000000,00000001-0000-0000-0000-000000000017,True,2025-06-09 17:08:00,,,2025-06-06 17:08:00,2025-06-06 17:08:00,ขยะไม่ได้รับการเก็บมาหลายวันแล้ว ส่งกลิ่นเหม็นรุนแรง รบกวนคนในชุมชน,ถังขยะหน้าหมู่บ้านล้นเต็ม
1e6a26ff-270f-4d5e-b583-88ee82b86866,CMP-20250503-00009,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000500,11111111-0003-0000-0000-000000000000,22222222-0011-0000-0000-000000000000,33333333-0003-0000-0000-000000000000,13.9277984,100.4982706,คลองพระอุดม,นนทบุรี,บริเวณคลองพระอุดม จ.นนทบุรี,2025-05-03 06:32:00,34.69,ffff0000-0000-0000-0000-000000000001,44444444-0003-0000-0000-000000000000,,True,2025-05-06 06:31:00,,,2025-05-03 06:31:00,2025-05-03 06:31:00,ควันดำจากโรงงานแถวนี้ทำให้หายใจลำบาก กลิ่นฉุนมาก โดยเฉพาะตอนเช้า,โรงงานผลิตสีอยู่ห่างไปประมาณ 500 เมตร
0d4a4797-a9e3-4172-9e03-55dd70312f8f,CMP-20250218-00010,00000000-0000-0000-0000-000000000001,cccc0001-0000-0000-0000-000000000001,00000001-0000-0000-0000-000000000544,11111111-0001-0000-0000-000000000000,22222222-0003-0000-0000-000000000000,33333333-0003-0000-0000-000000000000,13.9199614,100.4901486,บางตลาด,นนทบุรี,บริเวณบางตลาด จ.นนทบุรี,2025-02-18 17:44:00,7.88,ffff0000-0000-0000-0000-000000000006,44444444-0001-0000-0000-000000000000,00000001-0000-0000-0000-000000000013,True,2025-02-21 17:44:00,2025-02-22 23:44:00,2025-02-24 17:44:00,2025-02-18 17:44:00,2025-02-18 17:44:00,ไฟฟ้าสาธารณะดับมาหลายคืนแล้ว ทำให้มืดและไม่ปลอดภัย โดยเฉพาะเวลากลางคืน,ถนนสายหลักใกล้ตลาด
