workflow_log_id,complaint_id,from_status_id,to_status_id,action_type,action_by,action_role_id,action_note,action_datetime,ip_address,pending_reason,assigned_team_id,assigned_user
f6dcfdf0-e2f3-4250-a1ce-65f9eabcc659,70020a29-f002-4875-ae50-29b0561f488c,ffff0000-0000-0000-0000-000000000001,ffff0000-0000-0000-0000-000000000001,SUBMIT,00000001-0000-0000-0000-000000000011,aaaa0001-0000-0000-0000-000000000003,ประชาชนแจ้งเรื่องร้องเรียนผ่าน LINE OA เข้าสู่ระบบแล้ว,2025-03-17 14:30:14,192.168.2.201,,44444444-0001-0000-0000-000000000000,00000001-0000-0000-0000-000000000011
5b92c777-2af3-4866-9bd4-50f19264937b,70020a29-f002-4875-ae50-29b0561f488c,ffff0000-0000-0000-0000-000000000001,ffff0000-0000-0000-0000-000000000002,ASSIGNED,00000001-0000-0000-0000-000000000011,aaaa0001-0000-0000-0000-000000000003,มอบหมายงานให้เจ้าหน้าที่และเริ่มดำเนินการแล้ว,2025-03-18 01:30:14,192.168.2.201,,44444444-0001-0000-0000-000000000000,00000001-0000-0000-0000-000000000011
dd287b80-b32c-412d-ac2d-9bce776be7c1,70020a29-f002-4875-ae50-29b0561f488c,ffff0000-0000-0000-0000-000000000002,ffff0000-0000-0000-0000-000000000005,RESOLVE,00000001-0000-0000-0000-000000000011,aaaa0001-0000-0000-0000-000000000003,เจ้าหน้าที่ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-03-18 11:30:14,192.168.1.25,,,
72e71d2f-ff99-49f5-9bc1-13ee0dc63c82,f28b1760-1a2a-406a-b8cc-ff5f8cd43642,ffff0000-0000-0000-0000-000000000001,ffff0000-0000-0000-0000-000000000001,SUBMIT,00000001-0000-0000-0000-000000000031,aaaa0001-0000-0000-0000-000000000003,ประชาชนแจ้งเรื่องร้องเรียนผ่าน LINE OA เข้าสู่ระบบแล้ว,2025-06-01 17:10:19,192.168.1.4,,44444444-0005-0000-0000-000000000000,00000001-0000-0000-0000-000000000031
3b1bbd15-deed-4d55-8a59-551aa2427ae6,f28b1760-1a2a-406a-b8cc-ff5f8cd43642,ffff0000-0000-0000-0000-000000000001,ffff0000-0000-0000-0000-000000000002,ASSIGNED,00000001-0000-0000-0000-000000000031,aaaa0001-0000-0000-0000-000000000003,มอบหมายงานให้เจ้าหน้าที่และเริ่มดำเนินการแล้ว,2025-06-01 22:10:00,192.168.1.4,,44444444-0005-0000-0000-000000000000,00000001-0000-0000-0000-000000000031
3e0c6a12-1916-4cab-92e5-36ea74422b98,f28b1760-1a2a-406a-b8cc-ff5f8cd43642,ffff0000-0000-0000-0000-000000000002,ffff0000-0000-0000-0000-000000000005,RESOLVE,00000001-0000-0000-0000-000000000031,aaaa0001-0000-0000-0000-000000000003,เจ้าหน้าที่ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-06-02 03:10:00,192.168.8.203,,,
610e6323-abc8-4fef-abac-18df70380dd0,e76a9480-ce25-4cb4-912a-44df26b8e4bd,ffff0000-0000-0000-0000-000000000001,ffff0000-0000-0000-0000-000000000001,SUBMIT,00000001-0000-0000-0000-000000000021,aaaa0001-0000-0000-0000-000000000003,ประชาชนแจ้งเรื่องร้องเรียนผ่าน LINE OA เข้าสู่ระบบแล้ว,2025-04-26 04:15:13,192.168.4.21,,44444444-0003-0000-0000-000000000000,00000001-0000-0000-0000-000000000021
cbed49b3-fb46-4d5f-a99f-637d3ebd79ee,e76a9480-ce25-4cb4-912a-44df26b8e4bd,ffff0000-0000-0000-0000-000000000001,ffff0000-0000-0000-0000-000000000002,ASSIGNED,00000001-0000-0000-0000-000000000021,aaaa0001-0000-0000-0000-000000000003,มอบหมายงานให้เจ้าหน้าที่และเริ่มดำเนินการแล้ว,2025-04-26 06:15:13,192.168.4.21,,44444444-0003-0000-0000-000000000000,00000001-0000-0000-0000-000000000021
58380322-09a7-4043-822b-ada150e02268,e76a9480-ce25-4cb4-912a-44df26b8e4bd,ffff0000-0000-0000-0000-000000000002,ffff0000-0000-0000-0000-000000000005,RESOLVE,00000001-0000-0000-0000-000000000021,aaaa0001-0000-0000-0000-000000000003,เจ้าหน้าที่ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-04-26 08:15:13,192.168.4.19,,,
abcd9a30-3ccb-44dd-a92c-6f7921661745,e76a9480-ce25-4cb4-912a-44df26b8e4bd,ffff0000-0000-0000-0000-000000000005,ffff0000-0000-0000-0000-000000000006,CLOSE,00000001-0000-0000-0000-000000000325,aaaa0001-0000-0000-0000-000000000004,ปิดเรื่องร้องเรียน ผู้ร้องเรียนยืนยันการแก้ไขเรียบร้อยแล้ว,2025-04-26 11:15:13,192.168.2.51,,,
0c137ed2-9d78-4deb-bca1-329b5aec00ed,ee935225-4daf-471a-bc6b-55c2f8f066f1,ffff0000-0000-0000-0000-000000000001,ffff0000-0000-0000-0000-000000000001,SUBMIT,00000001-0000-0000-0000-000000000023,aaaa0001-0000-0000-0000-000000000003,ประชาชนแจ้งเรื่องร้องเรียนผ่าน LINE OA เข้าสู่ระบบแล้ว,2025-04-07 15:44:11,192.168.8.118,,44444444-0003-0000-0000-000000000000,00000001-0000-0000-0000-000000000023
